match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_winner,won_by,won_margin,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure,,players_name,total_score,Avr,SR,4s,6s,Bowler_Name,WKTS,Economy,,Stadium_name,,Ave inning score,Ave PP score,Ave death over score
44,05-02-2023,Narendra Modi Stadium,Gujarat Titans,Delhi Capitals,Group,Delhi Capitals,Bat,125,6,130,8,Delhi Capitals,Runs,5,Mohammed Shami,Hardik Pandya,59,Rilley Meredith,2--24,,Ayush Badoni,238,23.8,138.37,13,12,Wayne Parnell,9,9.37,,,,,,
45,05-03-2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Chennai Super Kings,Group,Chennai Super Kings,Field,125,7,0,0,Draw,Draw,0,Draw,Ayush Badoni,59,Mohsin Khan,4--16,,Tim David,231,25.66,158.21,12,15,Vyshak Vijay Kumar,9,10.54,,,,,,
46,05-03-2023,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Mumbai Indians,Group,Mumbai Indians,Field,214,3,216,4,Mumbai Indians,Wickets,6,Ishan Kishan,Liam Livingstone,82,Mukesh Choudhary,4--46,,Andre Russell,227,20.63,145.51,13,18,Rahul Chahar,8,7.75,,,,,,
47,05-04-2023,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Group,Kolkata Knight Riders,Field,166,8,171,9,Kolkata Knight Riders,Runs,5,Varun Chakaravarthy,Rinku Singh,46,Tim Southee,2--46,,Rahmanullah Gurbaz,227,20.63,133.52,17,15,Adam Zampa,8,8.54,,,,,,
48,05-05-2023,Sawai Mansingh Stadium,Rajasthan Royals,Gujarat Titans,Group,Rajasthan Royals,Bat,118,10,119,1,Gujarat Titans,Wickets,9,Rashid Khan,Wriddhiman Saha,41,Kagiso Rabada,4--33,,Abhishek Sharma,226,20.54,143.94,28,6,Avesh Khan,8,9.75,,,,,,
49,05-06-2023,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Group,Chennai Super Kings,Field,140,4,139,8,Chennai Super Kings,Wickets,6,Matheesha Pathirana,Nehal Wadhera,64,Maheesh Theekshana,3--27,,Philip Salt,218,27.25,163.91,24,10,Amit Mishra,7,7.84,,,,,,
50,05-06-2023,Arun Jaitley Stadium,Delhi Capitals,Royal Challengers Bangalore,Group,Royal Challengers Bangalore,Bat,187,3,181,4,Delhi Capitals,Wickets,7,Philip Salt,Philip Salt,87,Khaleel Ahmed,3--30,,Rilee Rossouw,209,29.85,148.22,17,11,Joshua Little,7,8.64,,,,,,
51,05-07-2023,Narendra Modi Stadium,Gujarat Titans,Lucknow Super Giants,Group,Lucknow Super Giants,Field,227,2,171,7,Gujarat Titans,Runs,56,Shubman Gill,Shubman Gill,94,Rashid Khan,2--24,,Ravindra Jadeja,190,23.75,142.85,11,9,Alzarri Joseph,7,9.37,,,,,,
52,05-07-2023,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Group,Rajasthan Royals,Bat,214,2,217,6,Sunrisers Hyderabad,Wickets,4,Glenn Phillips,Jos Buttler,95,Yuzvendra Chahal,3--28,,Harry Brook,190,21.11,123.37,23,4,Kagiso Rabada,7,10.08,,,,,,
53,05-08-2023,Eden Gardens,Kolkata Knight Riders,Punjab Kings,Group,Punjab Kings,Bat,182,5,179,7,Kolkata Knight Riders,Wickets,5,Andre Russell,Shikhar Dhawan,57,Avesh Khan,3--19,,Krunal Pandya,188,18.8,113.93,15,6,Shardul Thakur,7,10.47,,,,,,
